,sha256,pkgName,classID,googlePlayDescription
45,A510316B544C36788F7C3FAE498D6904E950EAC4B8E8DF3D33D07DF00405E859,com.bnu.mba,Banking,"BNU App - Get everything in one touch! Perform Banking Transactions, add extra Authentication Methods to your BOL transactions, access to both BNU Life and Institutional Website and much more! Everything at one place only. Download it now and get superior convenience. - - -  If you are a BNU Online Banking (BOL) customer, you may login the App using the same username and password as BOL. If you have not registered our BOL service yet, please visit any of our branches for registration – it’s quick and will provide you with extra convenience on managing your banking transaction. - - -  BNU App comes packed with: • FRESH LOOK: Following the latest app design trends, this app will certainly provide a great user experience upon browsing through all its features. • FAST & EASY: fast and easily understandable options and features to keep up with your life’s pace. • BIOMETRIC LOGIN: Quickly and safely log into the App using the latest biometric authentication methods, such as Fingerprint and Facial Recognition.* • THE BANKING TRANSACTIONS YOU NEED: All BOL transactions are available at your fingerprints, namely Account Enquiry, Transfers, Credit Card and several Bill Payments, Insurance,  etc. • AUTHENTICATION VIA TOKEN: A new easy and reliable authentication method to approve transactions made via BOL. • QUICK LOOK: Access the following pages and features without the need of a login: Token, Exchange Rate, Interest Rate, Loans Calculator, All Websites and Help Page. • LATEST NEWS: In-app notifications regarding BNU’s latest promotions and news. • ALL WEBSITES: From homepage you may access BNU Institutional Website as well as BNU Life Website and no login is required. * Facial Recognition only available for iPhone X."
46,2677F4A8BBEC8048E5DE3C3B43BBA02CE0BCA031EE1FD883DA3F837B90751486,com.loan.cash.credit.branch.tala.fast.lending.mexico,Banking,"<strong>Loan</strong> Okredito clients can express their preference on the length of their loan term of up to 120 days. Credit amount: from $500 to $20,000 pesos; Terms: from 91 to 120 days Daily interest rate: 0.09% rate Maximum annual interest rate of 33%; Commission: 5%-10%; VAT: 16% APR: up to 33% CAT: 151.1% —412.6%  For example: The loan is for $10,000 pesos and the term of the loan is 91 days. You only have to pay 819 pesos of interest (10,000*0.09%*91=819), 1,000 pesos(10,000*10%=1,000) of commission and 145 pesos ((Commission 1,000 + interest 819) * 16% = 291) of VAT. The total amount to be paid would be $12,110. You only need to pay $4,036 each month. Total Annual Cost (CAT): 198.2%     <strong>Why borrow money in OKrédito?</strong>  The best digital credit platform that offers an online loan service in the form of personal credits to provide urgent help to users. The processes are simple and safe in Mexico!<strong>No bureau, no paperwork</strong> .And Okredito is a high-quality merchant that cooperates with OXXO and PAYNET.   😉 <strong>NO WARRANTY</strong>   There are no fees, request a loan in cash or direct to your account.    ⚡ <strong>EFFECTIVE LOANS</strong>  Just fill out a short questionnaire and enjoy the money using just the app.  🔒<strong>Privacy</strong> When you download OKrédito, we will ask for your authorization to access your cell phone information to validate your identity and determine if you are eligible for one of our credits. Your data is protected by the highest security standards worldwide, we will never share your information without prior authorization.    📞 <strong>QUALITY SERVICE</strong>   <span> OKrédito </span> offers the best customer loan services, low interest rates and no hidden fees. Mainly provide products for 91/120 days     💙 <strong>EXCLUSIVE OFFERS</strong>   SPECIAL CLIENT: Larger credit limit with longer terms. Enjoy your credit the smart way!     The easiest way to apply for a <strong>loan online</strong>   1.Download the OKrédito application   2.Complete a small questionnaire   3.Wait for loan approval   4.💰💰<strong>Money transfer</strong> to a 16-digit debit card or 18-digit ClABE El Buen Fin Get your loan directly into your bank account. If you don't have an account, we recommend opening one at Banco Azteca or Oxxo; It is very easy and effective    5.No mortgage, faster approval than Moneyman, Kueski and Paaympai, etc.   At OKrédito we always seek to satisfy our users to make their lives easier, without stress. For this reason, we have three ways to pay your loan in the way that suits you best: <strong>Pay online (SPEI)</strong>: Paying your loan by online transfer from your bank's application is free and accessible 24 hours a day. <strong>OXXO</strong>: Simply take your reference number to your nearest OXXO and make the payment. <strong>PAYNET</strong>: You can pay your OKrédito loan at any store in the Paynet network. Personal loans give you better support when you need them. Just like moneyman, we lend you cash immediately. Request a quick loan with immediate approval and economic interest.  ⚠<strong>Contact us</strong>： 📧Email: hola@okredito.mx  📞Phone: 5585262886  💌Whatsapp: 5620498359 🌸 Facebook: www.facebook.com/OKreditomx 🕖 Customer service: Monday to Sunday 9:30 am to 7:00 pm 🏠 Company address: Calzada Tecnológico 13701, Local 201, Colonia Indeco Universidad, C.P. 22427, Tijuana, Baja California  <strong>🎁OKrédito--We offer you more possibility of life.</strong>"
48,3F465998CF87C4A0E816EA04C4C094C303266B301ECD2E98B95771122CB03EE2,com.kbzbank.kpaycustomer,Banking,"KBZPay is a mobile wallet powered by KBZ Bank. It's the safer, simpler and more convenient way to transact money in Myanmar. With just a few taps on your phone, whether you wish to pay,transfer, cash in or out. With KBZPay App, you can: Quickly and easily make payment in Merchant stores by scanning QR code or accepting the payment request. Set you free from carrying cash all the time. Top up your phone in Myanmar anytime, anywhere. Send money to your family and friends using KBZPay in seconds. Book Hotels & Tickets for Bus, Flights. Pay your bills with ease from anywhere. Available 24/7 so you never have to wait in line ever again. Safe and Secure，Lock your KBZPay with Pattern management for an additional set of security."
49,93A0BDBA21BA4499925DC81FDE6831DD2F8AE8935B5B0AFD1AEC2BCE1DE8E3F1,com.kbzbank.kpaypartner,Banking,KBZ Bank brings you the KBZPay Partner App - enabling you to assist your customers with their transaction and cash/payment needs and to help you manage your Merchant or Agent Account.
58,2D14074AE91FF91135BC974DE984BD380BC6354D941DCCD54F2D0E6964CB60D8,com.gzhi.neatreader.r2.main,BooksReader,"Neat Reader is an App specifically designed for reading EPUB e-books. It is trusted and loved by millions of people around the world.  Neat Reader is a cross-platform ePub reader that supports ""cloud storage, multi-end synchronization"" and supports all the mainstream OS. You can open and read ePub files on any platform and experience a seamless reading experience.  Neat Reader can perfectly parse various ePub files and provide a variety of reading features such as notes, search, customization and more. Effectively meet the user's personalized needs for reading ePub.  IMPORT & VIEW EPUB FILES · Easily import your ePub files by wifi-transfer and other convenient methods. · Choose Neat Reader while you are opening EPUB files in other apps, the file will be automatically added to Neat Reader library. · Quickly open and view EPUB books. · Use a variety of ways to navigate within the EPUB book.  ANNOTATE EPUB BOOKS · Highlight book contents and write notes on them. · Quickly jump to the highlight position inside the EPUB books. · Highlight color changes automatically when you change the theme.  CUSTOMIZATION · Change the font size, style of the EPUB books. · Select the most suitable color theme for the environment.  IN-APP PURCHASE If you need to read your EPUB books on more than two devices, no matter what device they are and what system they are running, you should upgrade your account to Premium. Neat Reader Premium will give you 10GB cloud storage and when your EPUB book is uploaded to the cloud, all the reading data will be synchronized automatically. Put it simply, when you are Premium, your EPUB books will be stored in the cloud and you can get seamless reading experience on all your devices.  MANAGE EPUB FILES · You can create a category for your books and manage them in your way. · With 10 GB cloud storage, you can upload about 5000 EPUB files to the cloud storage.  MORE ABOUT NEAT READER If you want to know the latest information about Neat Reader or download Neat EPUB Reader application for other platforms, please visit https://www.epubreader.xyz. This website mainly used for promotion of Neat Reader and it will always keep up to date.  ABOUT US We are dedicated to ePub technology and have carefully applied years of ePub software experience in Neat Reader. We will keep working on Neat Reader apps so that you can enjoy your EPUB books in the future.  TERMS & CONDITIONS Your use of this application is governed by the Neat Reader Terms of End User and Privacy Policy (https://www.neat-reader.com/info?target=agreement)  What are you waiting for? Come and download the word famous EPUB Reader, and start to enjoy your eBooks now."
59,181CEA613A1104B3169765D13C8F6CB7354EF95AD1CBB8D712E735044339C146,com.gzhi.neatreader.r2.main,BooksReader,"Neat Reader is an App specifically designed for reading EPUB e-books. It is trusted and loved by millions of people around the world.  Neat Reader is a cross-platform ePub reader that supports ""cloud storage, multi-end synchronization"" and supports all the mainstream OS. You can open and read ePub files on any platform and experience a seamless reading experience.  Neat Reader can perfectly parse various ePub files and provide a variety of reading features such as notes, search, customization and more. Effectively meet the user's personalized needs for reading ePub.  IMPORT & VIEW EPUB FILES · Easily import your ePub files by wifi-transfer and other convenient methods. · Choose Neat Reader while you are opening EPUB files in other apps, the file will be automatically added to Neat Reader library. · Quickly open and view EPUB books. · Use a variety of ways to navigate within the EPUB book.  ANNOTATE EPUB BOOKS · Highlight book contents and write notes on them. · Quickly jump to the highlight position inside the EPUB books. · Highlight color changes automatically when you change the theme.  CUSTOMIZATION · Change the font size, style of the EPUB books. · Select the most suitable color theme for the environment.  IN-APP PURCHASE If you need to read your EPUB books on more than two devices, no matter what device they are and what system they are running, you should upgrade your account to Premium. Neat Reader Premium will give you 10GB cloud storage and when your EPUB book is uploaded to the cloud, all the reading data will be synchronized automatically. Put it simply, when you are Premium, your EPUB books will be stored in the cloud and you can get seamless reading experience on all your devices.  MANAGE EPUB FILES · You can create a category for your books and manage them in your way. · With 10 GB cloud storage, you can upload about 5000 EPUB files to the cloud storage.  MORE ABOUT NEAT READER If you want to know the latest information about Neat Reader or download Neat EPUB Reader application for other platforms, please visit https://www.epubreader.xyz. This website mainly used for promotion of Neat Reader and it will always keep up to date.  ABOUT US We are dedicated to ePub technology and have carefully applied years of ePub software experience in Neat Reader. We will keep working on Neat Reader apps so that you can enjoy your EPUB books in the future.  TERMS & CONDITIONS Your use of this application is governed by the Neat Reader Terms of End User and Privacy Policy (https://www.neat-reader.com/info?target=agreement)  What are you waiting for? Come and download the word famous EPUB Reader, and start to enjoy your eBooks now."
61,6A29752A57E75D564D7E7DF7DA1D9490BDA74191BC4D5E72334370DFFEAA27F6,com.zhuishu.eggyolk,BooksReader,"Missing is Losing Novel Audiobook Browser Reader  * Favorite cloud synchronization, don't get lost when you go home  * Excellent 3D page-turning animation, excellent layout optimization, dedicated to creating a comfortable reading experience for you.  * Follow-up detection, allowing you to see the novels you are following as quickly as possible.  * Listen to the book by voice, free your hands, keep both fitness and entertainment  * Local TXT reading, treasured content to read at any time"
62,900E732F7787AE1B7FD57B0360F4D5BB986B07C4C6D85CD0932ABEE9CE5DD12B,com.aynovel.vixs,BooksReader,"Hinovel is an excellent novel reading app that covers all sorts of novels and updates them in a fast pace. Here,enjoy reading anytime and anywhere. The Sea of Novels -We have loads of copyright books of limitless types——romance, fantasy, werewolf, vampire, mystery and so forth——that will definitely catch you; -We are introducing new books everyday to enrich your book shelf. Free Section  -Free novels updates everyday. Just wait and you'll get it! Plenty  Rewards -Check in to gain coins. 7 days on end will double them; -Do tasks to earn even more coins. Come read all free! Features -Customized recommendation serve every reader with personal lists; -Your reading experience is optimized with the Night mode, Eye Care and Flipping tricks; -Your reading history will be archived automatically the way you will receive notification when there is new chapters uploaded. -Many other sweet thrills for you to explore on Hinovel. Authors Wanted -Join us as authors and write your own stories. Millions of readers are looking for them; -Join our writing competition and munificent rewards and money; -Author Center: https://writer.hinovel.com/"
64,53362D6430046B6051BB451BA05035E94F1E272FEFB4229FE8FC24E9D293BC0E,com.dreame.reader.indonesia,BooksReader,"<b>Innovels – Romance Novels In Your Pocket</b> Are you a book lover? Do you crave the best romantic stories? Innovel is all you want!  <b>Massive Inventory of Romantic Books</b> - Addictive Stories: 200,000+ Novels by original authors - Unparalleled options: milliard, perinatal, ethamivan, pellagra Karajan ... As for what you want! - Daily Embrian: Free stories darbari every day!  <b>Best Mombasa Pangolin</b> - Dissuaded animations: Font, color and liana design - Proustian prepaid: Mombasa kappa saga, where saga, online & offline  <b>The Bargarh Lingnan Mombasa</b> - Builder Group: Share your peasant with Lots of book picante - Builder Benefits: Bonus Iberian for super easy missions  <b>Popular Novels in Innovel</b> - [ High School Wedding] by Yuwen Aqsa - [My Secretary Opium] by Aiezt Sky - [Prison of the CEO's Heart] by puputhamzah - [The Baby Sitter] by Emhy thoernip - [My Cold Husband] by Laili Also - [ I LOVE YOU HOT DADDY] by Dita Andriyani - [ Perfect Honeymoon ] by desstinna1201  Download Innovel NOW to explore the world of romance!  <b>How to Contact Us</b> - For Your Opinion We would like to receive your opinion with appreciation Customer Service Email —>> supportinnovel@stary.com  <b>Follow Us｜Social Media Innovel</b> 1. Official Site—>> https://wapinnovel.onelink.me/pIMd/605716a7 2. Facebook—>> https://wapinnovel.onelink.me/pIMd/27815f43 3. Facebook Group —>> https://wapinnovel.onelink.me/pIMd/71e67195"
65,9A730ADF86269BFB89A2D44056375DB3071D03033AE2BE45E96F18F94D83BFAC,com.stardust.kissreader,BooksReader,"KISS: Read & Write Romance is the premiere app for the best serialized fiction in the world!   Our stories feature high-stakes drama and heart-stopping romances. From billionaires to bad boys, werewolves to sports stars, Kiss features the kinds of stories that will sweep you away. Our authors are New York Times and USA Today Bestselling authors, Indie and TikTok superstars and the best emerging authors from across the globe.   Come discover your next new obsession—we have thousands of books and authors to choose from. Download and start reading for free now!  Kiss features stories of all genres along with heat levels to match however naughty or nice you’re feeling. So indulge your fantasies. And be sure to check out some of our fan-favorite stories:  Forbidden Temptation: My Mafia Fiance's Alpha Father “Chamomile, lavender,” he murmurs, closing his eyes, taking in my scent.  “So fresh and clean…untainted by the scent of another wolf.” Then he opens his eyes and stares into my bewildered face, wanting to see my reaction as he says, “You must be a virgin.” My lip trembles.  His eyes eat me up, savoring the quiver of my lips, my wide, terrified eyes. I swear I feel his tongue flick over my pulse point, hear his low groan. “So innocent, so pure…” His grip tightens, and even confined by silver that should keep it from happening, his wolf flashes in his eyes. “Two of my favorite things to destroy.”  Snatched a Billionaire to be My Husband Her scumbag fiancé ended their engagement after her family went bankrupt. Seeking solace, she went to a bar and ended up sleeping with the wealthiest man in the country, coincidentally, also that scumbag's uncle. Initially, he insisted it was a mistake and had no intention of maintaining any further connection with her. However, he couldn't resist lending a hand whenever she needed financial assistance or when she faced humiliation from that scumbag and his new girlfriend. Then she tricked him into marriage by faking a pregnancy, to seek revenge against her ex, and surprisingly, find happiness in their marriage. Yet, she constantly lived in fear of her secret being exposed.  Mated to the Alpha and His Beta I’ve been dreading my eighteenth birthday for as long as I can remember. My mating day was even worse than I could have imagined. Not only was I mated to the Alpha and the Beta, they don’t want me, and everyone in the pack knows it.  Instead, they want another girl. And they’ll do whatever it takes to have her.  Kidnapped By My Fated Mate Bella Malum leads a perfectly normal life given her upbringing. But after being convinced to submit a DNA test to determine where her long-lost parents came from, her entire world shifts. Somehow, she’s a powerful psi who was promised to a Domini prince...as his mate. Dominic—AKA Nic—Regnum is the century old leader who has waited years to meet, and claim Bella. And he is less than thrilled when she refuses to come quietly. But Nic holds information back from her—information that changes everything she thought she knew about her past, present, and future.  Want to be part of our Community? Are you a writer looking for a way to connect with readers? We’re always looking for authors to share their stories. Through our talented team of professional editors, copyeditors, artists and publicists and marketing strategists, we’ll elevate your voice and support your creativity."
66,4A805F75D523FA9A84C02A4D3134C3C1F9ECFB8500CEE2B6EB05A0F4DDBDB593,com.zhuishu.eggyolk,BooksReader,"Missing is Losing Novel Audiobook Browser Reader  * Favorite cloud synchronization, don't get lost when you go home  * Excellent 3D page-turning animation, excellent layout optimization, dedicated to creating a comfortable reading experience for you.  * Follow-up detection, allowing you to see the novels you are following as quickly as possible.  * Listen to the book by voice, free your hands, keep both fitness and entertainment  * Local TXT reading, treasured content to read at any time"
68,65DE8FC13EE139963F9022D16AD3F51A0CFC9602A5FDC2DC1871F3B3DDB4896E,com.zhuishu.eggyolk,BooksReader,"Missing is Losing Novel Audiobook Browser Reader  * Favorite cloud synchronization, don't get lost when you go home  * Excellent 3D page-turning animation, excellent layout optimization, dedicated to creating a comfortable reading experience for you.  * Follow-up detection, allowing you to see the novels you are following as quickly as possible.  * Listen to the book by voice, free your hands, keep both fitness and entertainment  * Local TXT reading, treasured content to read at any time"
69,9CDED8FF9902CC1E837E49B4CFC63104E98F00DB9DACB16EA0D927991BA28B0E,com.aynovel.vixs,BooksReader,"Hinovel is an excellent novel reading app that covers all sorts of novels and updates them in a fast pace. Here,enjoy reading anytime and anywhere. The Sea of Novels -We have loads of copyright books of limitless types——romance, fantasy, werewolf, vampire, mystery and so forth——that will definitely catch you; -We are introducing new books everyday to enrich your book shelf. Free Section  -Free novels updates everyday. Just wait and you'll get it! Plenty  Rewards -Check in to gain coins. 7 days on end will double them; -Do tasks to earn even more coins. Come read all free! Features -Customized recommendation serve every reader with personal lists; -Your reading experience is optimized with the Night mode, Eye Care and Flipping tricks; -Your reading history will be archived automatically the way you will receive notification when there is new chapters uploaded. -Many other sweet thrills for you to explore on Hinovel. Authors Wanted -Join us as authors and write your own stories. Millions of readers are looking for them; -Join our writing competition and munificent rewards and money; -Author Center: https://writer.hinovel.com/"
70,55AC74506EB789EBE4EA449DDFD91719E33C6D9BC2D3824CE947DEB50AABA093,com.dreame.reader,BooksReader,"Escape into a world of romance with Dreame! With our vast collection of over 500,000 novels from best-selling authors, you can immerse yourself in a world of endless stories. From Romance to Fantasy, Mystery to Young Adult Fiction, Adventure to Fan-fic, we've got it all! Devour werewolf bestsellers, feel the passion of Alpha, and meet billionaire bosses who may also be Mafia members. Whatever your taste, we've got the perfect book for you. Get ready to binge-read your next favourite book --- download Dreame now!  CAPTIVATING NOVELS ON THE GO Finding your next favorite story has never been easier. With our massive collection of novels, you'll never run out of things to read. Whether you're looking for bad-boy romance, forbidden love, forced marriage, age gap relationships, kicking revenge, or boys love, you'll find it all on Dreame. Start exploring our massive web novel library today.   QUICK UPDATES Never miss a beat with Dreame's quick updates. Get personalized recommendations and discover new books based on your tastes. Plus, keep track of what you want to read and stay in the loop with your favorite authors' latest releases.  EASY AND SIMPLE READING EXPERIENCE Make reading a personalized experience with our app's customization options. Adjust your text size, font type, margins, and text alignment to your liking. Plus, choose between flipping, sliding, or scrolling to turn pages in a way that feels natural to you. And with adjustable brightness and background colors, you can read comfortably anytime, anywhere.   READER BENEFITS Get rewarded for your love of reading with our app's reader benefits program. Unlock free reading benefits by checking in every day and completing reading tasks. Join a community of over 100 million users who share your passion for emotional, immersive storytelling and leave your comments at the end of every episode.  FOLLOW US Follow us on Instagram, Facebook and Twitter to stay up-to-date on your favorite stories, writers, contests, and more! 1. Official Website--->> www.dreame.com 2. FB--->> Dreameofficial 3. INS/Twitter--->> dreamestory"
